Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,BD,1,Political Theory,POLI001,Major,3,91
U,BD,1,Human Resource Management,POLI002,Major,3,92
U,BD,1,Public Finance,CPA001,Minor,2,89
U,BD,2,Public Policy,POLI011,Major,3,87
U,BD,2,Philippine Politics,CPA011,Minor,3,92
U,BD,2,Development Economics,POLI012,Major,2,93
U,BD,3,Public Management,POLI021,Major,3,92
U,BD,3,International Political Economy,POLI022,Major,3,91
U,BD,3,Political Methodology,CPA021,Minor,4,86
U,BD,4,Comparative Politics,CPA031,Minor,3,86
U,BD,4,Political Economy of Development,POLI031,Major,3,87
