Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade
U,B,1,Principles of Management,CBA101,Minor,3,95%
U,B,1,Financial Accounting,CBA102,Major,3,89%
U,B,2,Marketing Fundamentals,CBA103,Major,3,92%
U,B,2,Business Statistics,CBA104,Core,3,88%
U,B,3,Organizational Behavior,CBA201,Core,3,93%
U,B,3,Managerial Accounting,CBA202,Core,3,88%
U,B,4,Operations Management,CBA203,Core,3,90%
U,B,4,Business Law,CBA204,Core,3,87%
U,B,5,Strategic Management,CBA301,Core,3,90%
U,B,5,International Business,CBA302,Core,3,89%
U,B,6,Entrepreneurship,CBA303,Core,3,86%

